Time,Goal_Position_0,Goal_Position_1,Present_Position_0,Present_Position_1
1746285660.5146384,16348.805353902244,-16348.805353902244,-6672,3196
1746285660.547007,22823.7244252421,-22823.7244252421,738,-4510
1746285660.578602,29376.070550005716,-29376.070550005716,10030,-11518
1746285660.6109192,36100.452422407725,-36100.452422407725,15354,-18570
1746285660.6427171,42788.73252112896,-42788.73252112896,22210,-25753
1746285660.6749222,49597.40760437483,-49597.40760437483,29230,-32455
1746285660.7067971,56374.05630692023,-56374.05630692023,36094,-39504
1746285660.7386503,63107.103072308,-63107.103072308,42908,-46384
1746285660.77064,69803.58903726519,-69803.58903726519,49801,-52982
1746285660.8027205,76408.89609315596,-76408.89609315596,56632,-59763
1746285660.8347752,82902.12689472864,-82902.12689472864,63364,-66533
1746285660.8666565,89260.98062239242,-89260.98062239242,70127,-73213
1746285660.8988042,95461.59603758912,-95461.59603758912,76805,-79860
1746285660.9308703,101406.89258525368,-101406.89258525368,83356,-86383
1746285660.9626145,107160.11685868521,-107160.11685868521,91455,-92769
1746285660.9946144,112647.33289602492,-112647.33289602492,96144,-99021
1746285661.0266001,117860.47808198053,-117860.47808198053,102310,-105057
1746285661.0585902,122772.20016997734,-122772.20016997734,108241,-110924
1746285661.090802,127360.45412872595,-127360.45412872595,113960,-116516
1746285661.1225886,131606.1626985729,-131606.1626985729,120742,-121826
1746285661.1545432,135481.92295222075,-135481.92295222075,125799,-126836
1746285661.186613,138989.13675848185,-138989.13675848185,129416,-131486
1746285661.2185738,142088.18992024809,-142088.18992024809,134916,-135774
1746285661.2506676,144778.69246147087,-144778.69246147087,137884,-139730
1746285661.282609,147051.47311521476,-147051.47311521476,142372,-143022
1746285661.314949,148902.45008841724,-148902.45008841724,144659,-145924
1746285661.3465962,150281.38157880015,-150281.38157880015,147273,-148360
1746285661.3788285,151232.42977333174,-151232.42977333174,149349,-150082
1746285661.4108481,151725.21937046316,-151725.21937046316,150784,-151258
1746285663.6192834,55336.14358738667,-6142.31193819992,3374,-15
1746285663.6503456,68850.35346909557,-7642.389235069608,3769,-1063
1746285663.6825273,82106.01778642675,-9113.767974293369,6022,-4221
1746285663.7142768,94452.27629641458,-10484.202668902019,10208,-7691
1746285663.7464519,105949.5994304695,-11760.405536782117,16616,-9954
1746285663.7783191,116272.02382529965,-12906.19464460826,24358,-11617
1746285663.8103755,125481.11197255911,-13928.403428954061,33581,-12941
1746285663.8423169,133399.73329511035,-14807.370395757249,43211,-13914
1746285663.8742774,139970.48660255977,-15536.724012884135,52454,-14828
1746285663.9062502,145140.43439563652,-16110.588217915652,61719,-15622
1746285663.9385438,148870.46373743113,-16524.621474854855,71225,-16145
1746285663.9702742,151047.9190193131,-16766.319011143754,80820,-16559
1746285664.0022843,151724.39729422418,-16841.408099658885,90263,-16802
1746285664.034303,150867.43377459666,-16746.28514898023,99695,-16841
1746285664.0662293,148492.10235469748,-16482.623361371418,109199,-16798
1746285664.0983665,144614.3008678904,-16052.187396335834,118646,-16613
1746285664.130277,139276.50836476285,-15459.692428488675,127637,-15998
1746285664.1623473,132504.75954925915,-14708.028309967765,134713,-15267
1746285664.1942797,124444.64150709701,-13813.355207287768,139877,-14519
1746285664.2262714,115101.80186898218,-12776.300007457021,143265,-13696
1746285664.2582517,104607.84278499984,-11611.470549134981,144834,-12634
1746285664.2902474,93051.39437189212,-10328.704775280026,144583,-11501
1746285664.322265,80553.25278791127,-8941.41105945815,142341,-10292
1746285664.3542469,67242.32436347482,-7463.898004345705,138236,-8974
1746285664.3862274,53265.162303822886,-5912.43301572434,132384,-7516
1746285664.4182029,38739.669528037775,-4300.103317612193,124647,-5991
1746285664.4501972,23823.082307950073,-2644.362136182458,115210,-4412
1746285664.48223,8652.715452879967,-960.4514152696764,105863,-2838
1746285664.514297,-6574.274269415338,729.7444439051025,96494,-1170
1746285664.546199,-21761.14036046236,2415.4865800113216,87129,523
1746285664.5783257,-36777.57322109645,4082.3106275417063,77596,2214
1746285664.6102085,-51304.52909278586,5694.80272929923,68114,3870
1746285664.6448195,-66469.43564364729,7378.107356444848,57485,5499
1746285664.674214,-78791.39138689119,8745.844443944921,49207,7034
1746285664.7061872,-91404.00298928644,10145.844331810795,39737,8693
1746285664.7396312,-103339.37905537158,11470.671075146247,31245,10054
1746285664.7702131,-113752.62849396843,12626.541762830495,20817,11375
1746285664.8022282,-123251.21546195884,13680.884916277431,11377,12651
1746285664.8341792,-131508.43814228137,14597.436633793233,1941,13713
