Time,Axis_0_Value,Axis_1_Value
1744359095.8601134,1,2
1744359095.8601677,1,2
1744359095.8602216,1,2
1744359095.860276,1,2
1744359095.860331,1,2
1744359095.8603852,1,2
1744359095.8604407,1,2
1744359095.8604958,1,2
1744359095.8605514,1,2
1744359095.860607,1,2
1744359095.8606625,1,2
1744359095.860718,1,2
1744359095.8607714,1,2
1744359095.8608248,1,2
1744359095.8608787,1,2
1744359095.8609319,1,2
1744359095.860986,1,2
1744359095.8611317,1,2
1744359095.861186,1,2
1744359095.86124,1,2
1744359095.8612936,1,2
1744359095.8613477,1,2
1744359095.8614008,1,2
1744359095.8614542,1,2
1744359095.8615084,1,2
1744359095.8615618,1,2
1744359095.8616154,1,2
1744359095.8616693,1,2
1744359095.8617232,1,2
1744359095.8617773,1,2
1744359095.8618312,1,2
1744359095.8618846,1,2
1744359095.861938,1,2
1744359095.8620338,1,2
1744359095.8620946,1,2
1744359095.8621488,1,2
1744359095.8622026,1,2
1744359095.8622565,1,2
1744359095.8623104,1,2
1744359095.862364,1,2
1744359095.8624177,1,2
1744359095.862471,1,2
1744359095.8625247,1,2
1744359095.8625782,1,2
1744359095.8626325,1,2
1744359095.8626869,1,2
1744359095.8627403,1,2
1744359095.8627937,1,2
1744359095.8628478,1,2
1744359095.8629014,1,2
1744359095.8629553,1,2
1744359095.8630092,1,2
1744359095.8630633,1,2
1744359095.8631234,1,2
1744359095.8631775,1,2
1744359095.8632312,1,2
1744359095.8632848,1,2
1744359095.863339,1,2
1744359095.8633928,1,2
1744359095.8634462,1,2
1744359095.8635015,1,2
1744359095.863556,1,2
1744359095.8636093,1,2
1744359095.8636634,1,2
1744359095.863717,1,2
1744359095.8637705,1,2
1744359095.8638244,1,2
1744359095.8638778,1,2
1744359095.8639317,1,2
1744359095.863985,1,2
1744359095.8640387,1,2
1744359095.864092,1,2
1744359095.8641458,1,2
1744359095.864242,1,2
1744359095.8642993,1,2
1744359095.8643553,1,2
1744359095.8644106,1,2
1744359095.8644652,1,2
1744359095.8645716,1,2
1744359095.8646336,1,2
1744359095.864692,1,2
1744359095.8647492,1,2
1744359095.864807,1,2
1744359095.8648617,1,2
1744359095.8649173,1,2
1744359095.8649747,1,2
1744359095.8650322,1,2
1744359095.8650863,1,2
1744359095.8651423,1,2
1744359095.8651967,1,2
1744359095.865251,1,2
1744359095.865305,1,2
1744359095.8653626,1,2
1744359095.865438,1,2
1744359095.8655481,1,2
1744359095.8656113,1,2
1744359095.8656657,1,2
1744359095.8657203,1,2
1744359095.8657746,1,2
1744359095.8660727,1,2
1744359095.8661408,1,2
1744359095.866196,1,2
1744359095.8662498,1,2
1744359095.866305,1,2
1744359095.8663595,1,2
1744359095.866415,1,2
1744359095.86647,1,2
1744359095.866526,1,2
1744359095.8666346,1,2
1744359095.866695,1,2
1744359095.8667498,1,2
1744359095.8668041,1,2
1744359095.8668954,1,2
1744359095.8669877,1,2
1744359095.8670468,1,2
1744359095.8671024,1,2
1744359095.8671558,1,2
1744359095.8672094,1,2
1744359095.8672626,1,2
